date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2020-12-27,24421,24421,0,24412,8,1,24421,0
2020-12-28,18007,18007,0,42417,9,2,42428,0
2020-12-29,50055,50055,0,92471,9,3,92483,0
2020-12-30,64066,64066,0,156536,10,3,156549,0
2020-12-31,49939,49939,0,206473,12,3,206488,0
2021-01-01,25672,25672,0,232124,27,7,232160,0
2021-01-02,47804,47804,0,279925,28,7,279964,0
2021-01-03,22573,22573,0,302491,35,7,302537,0
2021-01-04,46333,46333,0,348794,46,8,348870,0
2021-01-05,52478,52478,0,401268,50,8,401348,0
2021-01-06,63085,63085,0,464344,57,10,464433,0
2021-01-07,54908,54908,0,519240,65,13,519341,0
2021-01-08,62875,62875,0,582059,118,16,582216,0
2021-01-09,60603,60603,0,642654,126,16,642819,0
2021-01-10,35846,35846,0,678488,136,17,678665,0
2021-01-11,68778,68778,0,747253,146,20,747443,0
2021-01-12,79321,79321,0,826549,167,23,826764,0
2021-01-13,112435,112435,0,937801,1350,23,939199,0
2021-01-14,84125,84125,0,1016802,6472,25,1023324,0
2021-01-15,91866,90883,983,1103361,11758,44,1114207,983
2021-01-16,58100,56856,1244,1159765,13452,45,1171063,2227
2021-01-17,47834,30757,17077,1206332,14717,46,1201820,19304
2021-01-18,83314,67554,15760,1285380,18980,49,1269374,35064
2021-01-19,119878,83805,36073,1401438,22749,100,1353179,71137
2021-01-20,132951,79003,53948,1531541,25593,104,1432182,125085
2021-01-21,105638,64534,41104,1634348,28419,108,1496716,166189
2021-01-22,102408,68781,33627,1734545,30616,122,1565497,199816
2021-01-23,87092,40772,46320,1821271,30977,127,1606269,246136
2021-01-24,47836,25706,22130,1868898,31181,131,1631975,268266
2021-01-25,91049,52344,38705,1958489,32636,134,1684319,306971
2021-01-26,98706,51358,47348,2055745,34079,141,1735677,354319
2021-01-27,109639,51184,58455,2163580,35873,149,1786861,412774
2021-01-28,92744,46999,45745,2254685,37508,153,1833860,458519
2021-01-29,107828,49885,57943,2360954,38995,224,1883745,516462
2021-01-30,88164,34670,53494,2448228,39879,228,1918415,569956
2021-01-31,57243,25808,31435,2505080,40264,233,1944223,601391
2021-02-01,120501,58397,62104,2623300,42488,289,2002620,663495
2021-02-02,132887,65524,67363,2753020,45628,314,2068144,730858
2021-02-03,163120,64630,98490,2909710,52030,341,2132774,829348
2021-02-04,134661,62149,72512,3038461,57932,349,2194923,901860
2021-02-05,147588,69419,78169,3179562,64409,358,2264342,980029
2021-02-06,94199,45606,48593,3271120,67048,359,2309948,1028622
2021-02-07,53580,28305,25275,3322354,69390,362,2338253,1053897
2021-02-08,109515,53022,56493,3427996,73232,392,2391275,1110390
2021-02-09,134756,60247,74509,3559117,76680,579,2451522,1184899
2021-02-10,155552,77792,77760,3701969,80980,8978,2529314,1262659
2021-02-11,144753,75688,69065,3822881,88301,25496,2605002,1331724
2021-02-12,156307,80300,76007,3955376,97686,39917,2685302,1407731
2021-02-13,107886,62056,45830,4046571,100961,53332,2747358,1453561
2021-02-14,65475,39637,25838,4102257,103446,60635,2786995,1479399
2021-02-15,125951,70172,55779,4207321,108772,76184,2857167,1535178
2021-02-16,134978,78284,56694,4316367,114990,95897,2935451,1591872
2021-02-17,151954,95445,56509,4439272,123055,116877,3030896,1648381
2021-02-18,145255,91854,53401,4552202,131349,140902,3122750,1701782
2021-02-19,158974,103155,55819,4673468,141396,168562,3225905,1757601
2021-02-20,112555,76194,36361,4760175,145881,189919,3302099,1793962
2021-02-21,86048,57726,28322,4826757,149532,205731,3359825,1822284
2021-02-22,156695,98324,58371,4950356,158611,229747,3458149,1880655
2021-02-23,170649,110043,60606,5084714,165979,258668,3568192,1941261
2021-02-24,177196,117682,59514,5216911,173644,296001,3685874,2000775
2021-02-25,190441,130964,59477,5348999,180440,347558,3816838,2060252
2021-02-26,214288,146576,67712,5491001,189329,410955,3963414,2127964
2021-02-27,148350,108491,39859,5583812,193422,462398,4071905,2167823
2021-02-28,103607,79403,24204,5645461,197396,500380,4151308,2192027
2021-03-01,199401,149440,49961,5776502,207116,559020,4300748,2241988
2021-03-02,220208,167952,52256,5917432,217227,628187,4468700,2294244
2021-03-03,248651,177779,70872,6076111,232417,702968,4646479,2365116
2021-03-04,245764,182569,63195,6217893,246941,792426,4829048,2428311
2021-03-05,276024,208518,67506,6366556,260360,906366,5037566,2495817
2021-03-06,202983,154233,48750,6476102,269229,990934,5191799,2544567
2021-03-07,147917,114370,33547,6555999,275920,1052263,5306169,2578114
2021-03-08,238628,186680,51948,6690650,286915,1145244,5492849,2630062
2021-03-09,253246,198245,55001,6831301,299731,1245023,5691094,2685063
2021-03-10,289585,222087,67498,6990595,311986,1363058,5913181,2752561
2021-03-11,284903,223917,60986,7138036,325795,1486711,6137098,2813547
2021-03-12,328661,257503,71158,7290013,343209,1645980,6394601,2884705
